N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"68,200",200,+0.29%,100,"4,071,392","5,969,783",56.58,"13,929,810",18.62,8.69,
2,SK하이닉스,"98,800",600,-0.60%,"5,000","719,266","728,002",50.20,"1,970,340",25.06,4.25,
3,LG화학,"810,000","6,000",-0.74%,"5,000","571,798","70,592",42.31,"388,827",75.68,1.84,
4,삼성바이오로직스,"799,000",0,0.00%,"2,500","528,658","66,165",10.05,"87,801",148.76,4.77,
5,삼성전자우,"61,800",100,-0.16%,100,"508,544","822,887",85.53,"2,779,977",16.88,N/A,
6,NAVER,"284,500","1,000",-0.35%,100,"467,329","164,263",55.94,"416,004",56.64,10.56,
7,셀트리온,"334,000","4,500",+1.37%,"1,000","450,893","134,998",20.71,"1,298,690",88.52,11.19,
8,현대차,"181,000","2,000",+1.12%,"5,000","386,739","213,668",31.05,"1,025,336",43.25,4.32,
9,삼성SDI,"551,000","1,000",+0.18%,"5,000","378,893","68,765",43.75,"334,711",187.99,2.94,
10,카카오,"373,000","1,000",-0.27%,500,"329,283","88,280",32.40,"334,044",-413.98,-5.81,
11,LG생활건강,"1,533,000","4,000",-0.26%,"5,000","239,427","15,618",45.68,"19,013",34.35,20.32,
12,기아차,"58,700",300,+0.51%,"5,000","237,948","405,363",37.83,"1,216,506",27.28,6.50,
13,현대모비스,"248,500","3,000",+1.22%,"5,000","236,211","95,055",43.42,"316,496",15.15,7.28,
14,삼성물산,"122,500",0,0.00%,100,"228,937","186,887",14.37,"416,736",20.52,4.77,
15,POSCO,"239,500","3,000",-1.24%,"5,000","208,812","87,187",51.06,"307,668",21.94,4.18,
16,KB금융,"47,950",500,-1.03%,"5,000","199,380","415,808",66.27,"1,213,212",6.27,8.92,
17,SK텔레콤,"235,000","3,000",+1.29%,500,"189,752","80,746",34.02,"449,234",17.30,3.92,
18,엔씨소프트,"822,000","6,000",+0.74%,500,"180,462","21,954",48.08,"77,909",32.16,14.72,
19,신한지주,"34,050",300,-0.87%,"5,000","175,877","516,527",57.97,"1,787,853",5.11,9.09,
20,SK이노베이션,"179,500","4,500",+2.57%,"5,000","165,976","92,466",24.10,"2,446,507",-6.83,-0.20,
21,SK,"220,000",0,0.00%,200,"154,793","70,360",21.76,"228,105",928.27,4.31,
22,삼성생명,"74,000",100,-0.13%,500,"148,000","200,000",12.27,"439,715",16.46,3.26,
23,SK바이오팜,"188,500","9,000",+5.01%,500,"147,620","78,313",3.30,"904,869",-171.36,-313.66,
24,LG전자,"87,800",800,+0.92%,"5,000","143,683","163,648",35.79,"568,892",19.07,0.22,
25,한국전력,"21,900",50,-0.23%,"5,000","140,590","641,964",16.90,"3,699,133",152.08,-3.42,
26,삼성에스디에스,"176,000",500,+0.28%,500,"136,185","77,378",12.32,"145,353",25.98,11.76,
27,LG,"75,200","2,000",-2.59%,"5,000","129,763","172,557",34.93,"392,413",10.63,5.87,
28,삼성전기,"158,500","5,000",+3.26%,"5,000","118,390","74,694",34.50,"1,321,942",32.47,10.18,
29,KT&G,"84,400",400,-0.47%,"5,000","115,875","137,292",41.33,"481,574",11.77,12.39,
30,넷마블,"128,500","2,500",+1.98%,100,"110,310","85,844",22.56,"301,597",52.05,3.54,
31,아모레퍼시픽,"183,500","4,500",-2.39%,500,"107,271","58,458",31.61,"323,292",295.02,5.36,
32,하나금융지주,"35,600",500,-1.39%,"5,000","106,886","300,242",64.97,"1,176,527",4.22,8.77,
33,롯데케미칼,"287,000","2,000",-0.69%,"5,000","98,370","34,275",26.95,"184,210",84.84,5.51,
34,삼성화재,"198,500","4,500",-2.22%,500,"94,039","47,375",45.45,"542,895",15.17,4.85,
35,한온시스템,"15,500",50,+0.32%,100,"82,739","533,800",20.97,"1,093,800",58.94,14.98,
36,S-Oil,"70,500",900,-1.26%,"2,500","79,371","112,583",74.91,"555,498",-9.45,1.01,
37,한화솔루션,"49,350",400,-0.80%,"5,000","78,893","159,864",19.44,"1,915,584",-87.81,-4.02,
38,한국조선해양,"105,500","3,000",-2.76%,"5,000","74,666","70,773",16.03,"442,221",349.34,1.40,
39,우리금융지주,"10,200",100,-0.97%,"5,000","73,671","722,268",25.70,"1,171,029",5.38,N/A,
40,고려아연,"388,500","1,500",-0.38%,"5,000","73,310","18,870",23.97,"29,977",13.09,9.76,
41,기업은행,"9,620",10,-0.10%,"5,000","71,060","738,664",10.69,"1,380,101",4.61,7.36,
42,현대글로비스,"182,500","1,500",-0.82%,500,"68,438","37,500",36.01,"133,073",10.26,11.25,
43,신풍제약,"128,500",0,0.00%,500,"68,086","52,985",10.54,"782,320","3,569.44",0.80,
44,미래에셋대우,"9,970",80,-0.80%,"5,000","64,338","645,316",14.53,"2,002,651",11.87,7.56,
45,빅히트,"178,000","2,000",+1.14%,500,"63,410","35,624",3.54,"126,006",N/A,56.47,
46,KT,"24,200",100,+0.41%,"5,000","63,189","261,112",43.93,"1,187,246",10.31,4.61,
47,KODEX 200,"35,220",80,+0.23%,0,"58,712","166,700",14.17,"7,082,296",N/A,N/A,
48,LG디스플레이,"15,750",100,+0.64%,"5,000","56,356","357,816",23.21,"1,926,335",-2.29,-22.35,
49,포스코케미칼,"91,700","4,500",+5.16%,500,"55,926","60,988",7.51,"1,201,138",195.52,11.57,
50,CJ제일제당,"366,500",0,0.00%,"5,000","55,174","15,054",23.64,"51,348",7.61,3.16,
51,LG유플러스,"12,150",200,+1.67%,"5,000","53,048","436,611",31.41,"5,052,650",6.69,6.30,
52,코웨이,"71,200",200,+0.28%,500,"52,545","73,800",60.75,"124,488",14.71,30.74,
53,SK케미칼,"434,000","18,000",+4.33%,"5,000","50,958","11,741",14.95,"587,290",19.80,1.51,
54,강원랜드,"23,200",100,+0.43%,500,"49,634","213,940",23.25,"611,043",-26.13,9.16,
55,오리온,"119,000",0,0.00%,500,"47,048","39,536",42.25,"81,787",17.19,14.24,
56,현대중공업지주,"288,000","4,000",+1.41%,"5,000","45,500","15,799",17.79,"37,378",-17.45,2.20,
57,한진칼,"74,700",400,+0.54%,"2,500","44,200","59,171",17.18,"453,388",-12.32,-17.56,
58,현대제철,"33,100",50,+0.15%,"5,000","44,171","133,446",19.24,"551,916",-17.93,0.10,
59,대한항공,"25,350",50,+0.20%,"5,000","44,162","174,210",12.03,"2,682,729",-5.78,-22.09,
60,유한양행,"65,400",100,+0.15%,"1,000","43,724","66,857",20.94,"285,019",24.09,2.43,
61,금호석유,"143,000","2,000",+1.42%,"5,000","43,569","30,468",27.92,"256,446",12.24,11.84,
62,한미사이언스,"65,700","6,600",+11.17%,500,"43,369","66,011",1.68,"1,820,480",293.30,4.73,
63,두산중공업,"17,100","1,050",+6.54%,"5,000","43,287","253,141",11.07,"16,411,707",-3.72,-14.73,
64,아모레G,"52,300","1,400",-2.61%,500,"43,126","82,458",19.81,"259,394",184.81,4.12,
65,이마트,"154,500",500,+0.32%,"5,000","43,068","27,876",31.59,"209,969",7.71,2.76,
66,한국금융지주,"77,100","1,300",-1.66%,"5,000","42,965","55,726",30.93,"451,875",7.29,18.14,
67,한국타이어앤테크놀로지,"34,400",150,-0.43%,500,"42,613","123,875",38.00,"203,287",16.55,6.03,
68,삼성중공업,"6,750",90,-1.32%,"5,000","42,525","630,000",14.94,"9,502,872",-3.40,-21.88,
69,HMM,"13,000",100,+0.78%,"5,000","42,474","326,726",6.19,"2,868,501",-41.94,-55.46,
70,한미약품,"356,500","27,000",+8.19%,"2,500","42,220","11,843",13.88,"440,371","-3,395.24",7.30,
71,녹십자,"357,500","3,500",+0.99%,"5,000","41,779","11,687",19.67,"191,673",95.90,-0.35,
72,삼성카드,"33,950",300,-0.88%,"5,000","39,334","115,859",10.09,"78,677",10.49,5.04,
73,현대건설,"35,100",800,+2.33%,"5,000","39,086","111,356",19.88,"1,091,582",17.11,6.30,
74,맥쿼리인프라,"10,900",50,+0.46%,0,"38,046","349,044",14.64,"556,186",N/A,N/A,
75,LG이노텍,"160,500",500,+0.31%,"5,000","37,986","23,667",35.14,"138,970",29.10,4.73,
76,롯데지주,"35,700",450,+1.28%,200,"37,453","104,909",11.39,"245,064",-5.22,-5.21,
77,CJ대한통운,"162,500","3,500",-2.11%,"5,000","37,070","22,812",21.88,"71,846",29.30,1.41,
78,삼성증권,"40,150",50,+0.12%,"5,000","35,854","89,300",25.54,"366,720",7.62,8.15,
79,GS,"37,350",300,-0.80%,"5,000","34,704","92,915",19.87,"221,731",-40.51,6.26,
80,SKC,"88,600","6,200",+7.52%,"5,000","33,256","37,535",7.97,"1,246,786",39.33,3.86,
81,동서,"32,500","3,750",+13.04%,500,"32,402","99,700",5.02,"1,038,998",23.43,10.53,
82,호텔신라,"81,000",300,-0.37%,"5,000","31,791","39,248",21.61,"412,588",-24.58,20.16,
83,DB손해보험,"44,800",700,-1.54%,500,"31,718","70,800",40.69,"310,749",5.86,6.92,
84,NH투자증권,"11,200",150,-1.32%,"5,000","31,518","281,409",14.69,"1,155,411",5.44,9.12,
85,현대차2우B,"86,000","1,000",+1.18%,"5,000","31,377","36,485",60.19,"73,199",20.55,N/A,
86,에스원,"81,800",100,+0.12%,500,"31,083","37,999",55.04,"51,489",21.53,11.32,
87,두산밥캣,"30,900",500,-1.59%,500,"30,977","100,249",20.39,"347,616",16.72,7.05,
88,더존비즈온,"102,500","1,000",+0.99%,500,"30,846","30,094",45.03,"63,445",63.70,18.78,
89,대림산업,"84,200",400,+0.48%,"5,000","29,302","34,800",38.88,"318,285",4.46,11.74,
90,대우조선해양,"27,250",250,+0.93%,"5,000","29,237","107,291",9.06,"445,408",16.77,-1.22,
91,롯데쇼핑,"101,500","1,500",-1.46%,"5,000","28,713","28,289",11.66,"170,246",-2.14,-8.14,
92,LG화학우,"372,500","2,000",-0.53%,"5,000","28,641","7,689",59.23,"31,869",34.80,N/A,
93,키움증권,"128,000",0,0.00%,"5,000","28,386","22,176",24.96,"125,491",8.58,16.97,
94,쌍용양회,"5,550",0,0.00%,"1,000","27,964","503,860",2.85,0,22.29,7.02,
95,삼성엔지니어링,"14,050",150,-1.06%,"5,000","27,538","196,000",26.81,"2,500,863",10.78,24.62,
96,두산퓨얼셀,"48,500","1,450",+3.08%,100,"26,914","55,494",13.28,"1,792,109",142.23,N/A,
