N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"59,300",200,-0.34%,100,"3,540,081","5,969,783",56.03,"18,628,173",18.55,8.69
2,SK하이닉스,"83,700","1,500",1.82%,"5,000","609,338","728,002",47.98,"5,175,141",26.66,4.25
3,삼성바이오로직스,"758,000","1,000",0.13%,"2,500","501,531","66,165",10.26,"63,675",146.02,4.77
4,NAVER,"298,000","2,500",-0.83%,100,"489,505","164,263",55.11,"744,150",69.46,10.56
5,LG화학,"666,000","21,000",3.26%,"5,000","470,145","70,592",36.09,"1,711,052",114.81,1.84
6,삼성전자우,"50,900",100,-0.20%,100,"418,849","822,887",87.14,"2,160,423",15.93,N/A
7,셀트리온,"291,500",0,0.00%,"1,000","393,507","134,994",21,"739,320",98.31,11.19
8,현대차,"181,000","3,000",-1.63%,"5,000","386,739","213,668",31.81,"2,556,850",26.08,4.32
9,카카오,"373,000","2,000",0.54%,500,"328,369","88,035",31.81,"488,767",-213.14,-5.81
10,삼성SDI,"453,000","7,500",1.68%,"5,000","311,503","68,765",41.59,"391,298",166.42,2.94
11,LG생활건강,"1,516,000","8,000",0.53%,"5,000","236,772","15,618",45.45,"29,560",34.57,20.32
12,현대모비스,"240,000","2,000",-0.83%,"5,000","228,131","95,055",43.83,"458,599",13.07,7.28
13,삼성물산,"109,500",500,0.46%,100,"204,641","186,887",14.22,"309,767",19.13,4.77
14,SK텔레콤,"244,000",0,0.00%,500,"197,020","80,746",35.85,"217,940",20.02,3.92
15,기아차,"47,800",700,-1.44%,"5,000","193,764","405,363",39.22,"2,253,351",18.2,6.5
16,엔씨소프트,"821,000","16,000",1.99%,500,"180,243","21,954",49.02,"83,802",34.58,14.72
17,POSCO,"192,000","2,000",1.05%,"5,000","167,399","87,187",51.92,"519,456",18.25,4.18
18,넷마블,"186,000","5,500",3.05%,100,"159,601","85,807",22.54,"680,846",76.95,3.54
19,KB금융,"37,750",200,-0.53%,"5,000","156,967","415,808",65.61,"1,153,336",4.94,8.92
20,SK,"210,500","1,000",-0.47%,200,"148,108","70,360",22.13,"158,472",-405.59,4.31
21,LG전자,"89,900",700,-0.77%,"5,000","147,119","163,648",34.42,"917,375",36.08,0.22
22,SK이노베이션,"153,000","3,000",-1.92%,"5,000","141,472","92,466",23.81,"658,155",-6.27,-0.2
23,삼성에스디에스,"181,500","2,500",1.40%,500,"140,441","77,378",12.15,"206,661",26.94,11.76
24,LG,"78,900","1,900",-2.35%,"5,000","136,148","172,557",35,"420,551",16.84,5.87
25,신한지주,"28,350",200,-0.70%,"5,000","135,342","477,397",60.79,"2,200,117",4.26,9.09
26,SK바이오팜,"171,500","1,000",0.59%,500,"134,307","78,313",1.94,"138,312",-155.91,-313.66
27,한국전력,"20,500",50,0.24%,"5,000","131,603","641,964",17.57,"1,749,214",-14.29,-3.42
28,삼성생명,"62,900",300,-0.47%,500,"125,800","200,000",12.26,"397,922",13.99,3.26
29,KT&G,"83,100",800,-0.95%,"5,000","114,090","137,292",42.24,"359,176",11.11,12.39
30,삼성전기,"141,500","3,000",2.17%,"5,000","105,692","74,694",32.85,"440,705",43.55,10.18
31,신풍제약,"198,000","45,500",29.84%,500,"104,910","52,985",7.6,"11,144,337","6,000.00",0.8
32,아모레퍼시픽,"168,500","1,500",0.90%,500,"98,503","58,458",30.57,"120,803",84.72,5.36
33,삼성화재,"186,500","1,000",-0.53%,500,"88,354","47,375",47.12,"78,723",14.26,4.85
34,하나금융지주,"28,150",300,-1.05%,"5,000","84,518","300,242",64.19,"1,065,075",3.34,8.77
35,고려아연,"392,000","2,500",-0.63%,"5,000","73,970","18,870",24.32,"37,979",13.45,9.76
36,롯데케미칼,"209,500","5,000",2.44%,"5,000","71,807","34,275",29.66,"258,947",39.97,5.51
37,한화솔루션,"42,550",50,0.12%,"5,000","68,022","159,864",19.16,"2,861,172",-41.07,-4.02
38,한온시스템,"12,650",800,-5.95%,100,"67,526","533,800",20.92,"2,602,352",40.54,14.98
39,S-Oil,"54,600",400,-0.73%,"2,500","61,470","112,583",73.75,"328,315",-7.51,1.01
40,KT,"23,400",100,0.43%,"5,000","61,100","261,112",45.06,"855,360",10.2,4.61
41,우리금융지주,"8,410",30,-0.36%,"5,000","60,743","722,268",26.04,"1,271,736",4.44,N/A
42,한국조선해양,"85,400",600,-0.70%,"5,000","60,440","70,773",15.98,"223,949",57.43,1.4
43,미래에셋대우,"9,200",80,0.88%,"5,000","59,369","645,316",13.51,"2,318,686",10.95,7.56
44,오리온,"150,000","3,000",2.04%,500,"59,304","39,536",44.44,"163,793",22.38,14.24
45,기업은행,"8,000",120,-1.48%,"5,000","59,093","738,664",11.34,"3,463,675",3.83,7.36
46,코웨이,"79,400",0,0.00%,500,"58,597","73,800",60.77,"178,362",16.69,30.74
47,CJ제일제당,"387,000",0,0.00%,"5,000","58,260","15,054",22.64,"42,635",9.74,3.16
48,LG디스플레이,"16,150",50,0.31%,"5,000","57,787","357,816",22.29,"1,343,100",-1.99,-22.35
49,포스코케미칼,"91,200","4,500",5.19%,500,"55,621","60,988",7.39,"1,095,894",107.55,11.57
50,현대글로비스,"147,500",0,0.00%,500,"55,312","37,500",35.07,"162,016",10.05,11.25
51,LG유플러스,"11,700",150,-1.27%,"5,000","51,084","436,611",31.73,"2,346,188",10.22,6.3
52,한진칼,"80,100","3,100",4.03%,"2,500","47,396","59,170",17.36,"596,482",-12.33,-17.56
53,강원랜드,"21,300",350,-1.62%,500,"45,569","213,940",24.7,"458,784",-224.21,9.16
54,유한양행,"66,600",200,0.30%,"1,000","44,527","66,857",21.71,"529,433",26.87,2.43
55,KODEX 200,"31,820",105,0.33%,0,"44,389","139,500",6.54,"6,624,357",N/A,N/A
56,한국금융지주,"78,100","1,400",-1.76%,"5,000","43,522","55,726",32.18,"474,490",7.39,18.14
57,한국타이어앤테크놀로지,"34,400",100,-0.29%,500,"42,613","123,875",38.42,"620,228",14.38,6.03
58,아모레G,"50,500",400,-0.79%,500,"41,641","82,458",20.41,"70,430",68.89,4.12
59,CJ대한통운,"182,000","2,500",1.39%,"5,000","41,518","22,812",21.18,"134,592",45.94,1.41
60,이마트,"146,500","1,000",0.69%,"5,000","40,838","27,876",30.97,"223,246",7.35,2.76
61,SK케미칼,"337,000","1,000",-0.30%,"5,000","39,568","11,741",11.07,"208,118",17.34,1.51
62,한미사이언스,"58,900",200,0.34%,500,"38,881","66,011",1.96,"140,552",137.3,4.73
63,맥쿼리인프라,"11,000",100,-0.90%,0,"38,395","349,044",18.08,"496,385",N/A,N/A
64,LG이노텍,"161,500",500,-0.31%,"5,000","38,222","23,667",35.25,"238,161",16.72,4.73
65,두산중공업,"15,000",450,-2.91%,"5,000","37,971","253,141",7.2,"7,678,983",-2.96,-14.73
66,현대건설,"32,100",100,-0.31%,"5,000","35,745","111,356",21.42,"395,391",10.62,6.3
67,현대중공업지주,"223,000","5,000",-2.19%,"5,000","35,231","15,799",18.17,"61,665",-15.72,2.2
68,삼성중공업,"5,440",20,0.37%,"5,000","34,272","630,000",14.99,"2,011,152",-1.88,-21.88
69,한미약품,"288,500",0,0.00%,"2,500","34,167","11,843",14.43,"38,957",94.78,7.3
70,현대제철,"25,100",150,-0.59%,"5,000","33,495","133,446",18.87,"631,705",-12.45,0.1
71,삼성카드,"28,900",150,0.52%,"5,000","33,483","115,859",9.86,"108,896",8.93,5.04
72,에스원,"88,000",700,0.80%,500,"33,439","37,999",55.77,"51,538",22.6,11.32
73,SKC,"88,700","2,700",3.14%,"5,000","33,293","37,535",8.64,"504,496",32.14,3.86
74,대한항공,"18,800",100,-0.53%,"5,000","32,751","174,210",11.79,"1,079,163",-2.8,-22.09
75,현대차2우B,"89,500","1,500",-1.65%,"5,000","32,654","36,485",62,"135,586",12.9,N/A
76,DB손해보험,"45,700",50,-0.11%,500,"32,356","70,800",40.07,"176,644",5.98,6.92
77,더존비즈온,"109,000","2,500",-2.24%,500,"32,343","29,673",45.51,"141,170",68.04,18.78
78,롯데지주,"30,250",50,0.17%,200,"31,735","104,909",11.33,"104,844",-4.56,-5.21
79,금호석유,"102,000","3,900",3.98%,"5,000","31,077","30,468",33.25,"182,912",11.67,11.84
80,GS,"32,800",200,-0.61%,"5,000","30,476","92,915",20.23,"254,922",-27.13,6.26
81,쌍용양회,"5,970",270,4.74%,"1,000","30,080","503,860",2.91,"2,169,771",22.53,7.02
82,호텔신라,"75,900",600,-0.78%,"5,000","29,789","39,248",20.93,"513,422",-40.14,20.16
83,녹십자,"253,500",500,0.20%,"5,000","29,625","11,687",17.34,"128,629",496.09,-0.35
84,대림산업,"83,500","2,300",2.83%,"5,000","29,058","34,800",39.91,"405,627",4.7,11.74
85,동서,"28,650","1,150",4.18%,500,"28,564","99,700",5.88,"160,094",20.76,10.53
86,두산퓨얼셀,"51,200","2,300",-4.30%,100,"28,413","55,494",5.12,"886,468",78.05,N/A
87,삼성증권,"31,200",200,-0.64%,"5,000","27,862","89,300",24.91,"307,584",8.56,8.15
88,두산밥캣,"27,250",200,-0.73%,500,"27,318","100,249",22,"256,183",14.92,7.05
89,NH투자증권,"9,320",0,0.00%,"5,000","26,227","281,409",13.55,"611,811",6.1,9.12
90,하이트진로,"36,850",300,-0.81%,"5,000","25,844","70,134",10.1,"365,312",38.07,-3.86
91,대우조선해양,"24,050",350,-1.43%,"5,000","25,783","107,206",9.26,"254,436",-27.74,-1.22
92,GS리테일,"33,000",250,-0.75%,"1,000","25,410","77,000",16.48,"219,684",15.21,6.25
93,TIGER 200,"31,825",95,0.30%,0,"25,396","79,800",4.59,"1,778,915",N/A,N/A
94,CJ,"85,800",900,1.06%,"5,000","25,034","29,177",19.15,"110,875",16.67,6.24
95,KODEX 200선물인버스2X,"4,010",30,-0.74%,0,"24,549","612,200",1.38,"140,675,301",N/A,N/A
96,LG화학우,"316,500","3,000",0.96%,"5,000","24,335","7,689",53.68,"218,902",54.56,N/A
97,제일기획,"20,900",700,3.47%,200,"24,044","115,041",30.29,"743,538",18.69,15.09
98,키움증권,"108,500",0,0.00%,"5,000","23,999","22,119",25.07,"34,284",7.28,16.97
99,HMM,"7,260",40,-0.55%,"5,000","23,720","326,726",7.74,"3,372,016",-9.31,-55.46
100,한샘,"100,000","2,000",-1.96%,"1,000","23,534","23,534",24.73,"72,695",45,7.32
101,한국항공우주,"23,950",650,2.79%,"5,000","23,345","97,475",14.18,"478,573",14.94,15.84
102,한국가스공사,"24,750",300,-1.20%,"5,000","22,847","92,313",8.67,"257,651",-5.12,0.48
103,롯데쇼핑,"80,000",100,-0.12%,"5,000","22,631","28,289",11.48,"72,032",-1.66,-8.14
104,일진머티리얼즈,"48,750",450,0.93%,500,"22,479","46,111",8.91,"239,069",44.12,8.52
105,휠라홀딩스,"37,000",700,1.93%,"1,000","22,478","60,752",45.44,"295,784",11.2,23.81
106,메리츠증권,"3,275",5,-0.15%,"1,000","22,138","675,962",12.38,"2,094,173",4.46,15.06
107,삼성엔지니어링,"11,150",100,-0.89%,"5,000","21,854","196,000",30.33,"817,562",8.45,24.62
108,오뚜기,"589,000","11,000",1.90%,"5,000","21,235","3,605",17.42,"4,687",16.82,7.79
109,신세계,"215,500","3,000",-1.37%,"5,000","21,216","9,845",27.85,"100,477",-7.94,14.24
110,현대차우,"87,000","2,000",-2.25%,"5,000","21,190","24,357",55.44,"146,672",12.54,N/A
111,BGF리테일,"120,000",500,-0.41%,"1,000","20,741","17,284",31.66,"29,851",16.01,26.46
112,KODEX 레버리지,"15,465",115,0.75%,0,"20,476","132,400",2.92,"53,423,886",N/A,N/A
113,현대해상,"22,850",150,0.66%,500,"20,428","89,400",40.42,"219,767",6.71,6.23
114,부광약품,"31,500","1,350",-4.11%,500,"20,424","64,838",4.86,"3,544,126",732.56,-2
115,농심,"333,500","3,500",-1.04%,"5,000","20,286","6,083",19.65,"39,584",16.59,3.72
116,GS건설,"25,100",50,0.20%,"5,000","20,105","80,098",28.19,"359,446",5.26,11.79
117,한화,"26,750",150,-0.56%,"5,000","20,051","74,959",19.18,"425,724",14.01,2.09
118,종근당,"182,000",500,-0.27%,"2,500","19,812","10,886",13.13,"126,213",26.11,11.94
119,한올바이오파마,"36,700",650,-1.74%,500,"19,172","52,241",6.88,"584,727",89.29,14.9
120,LS,"59,200",900,1.54%,"5,000","19,062","32,200",11.47,"215,877",-43.82,0.8
121,씨에스윈드,"110,000","2,000",1.85%,500,"19,014","17,286",8.47,"249,903",45.03,9.92
122,팬오션,"3,480",15,-0.43%,"1,000","18,603","534,569",11.37,"1,107,669",12.61,5.49
123,현대로템,"17,000",250,1.49%,"5,000","18,554","109,142",3.63,"1,604,370",-5.1,-37.93
124,대웅,"30,900",0,0.00%,500,"17,966","58,142",7.22,"539,535",38.62,10.43
125,LS ELECTRIC,"59,500",700,1.19%,"5,000","17,850","30,000",15.29,"105,480",18.36,7.82
126,포스코인터내셔널,"13,850",100,-0.72%,"5,000","17,087","123,375",16.17,"184,963",9.53,7.06
127,영진약품,"9,300",240,2.65%,500,"17,009","182,893",4.63,"8,629,108",715.38,4.43
128,두산인프라코어,"8,080",200,2.54%,"5,000","16,977","210,107",4.68,"7,265,295",12.26,11.59
129,한솔케미칼,"150,000","2,000",1.35%,"5,000","16,943","11,295",31.9,"71,863",16.3,20.88
130,만도,"35,900",350,0.98%,"1,000","16,858","46,957",24.46,"1,160,954",-40.7,7.55
